"???","???????","??????????","?????????????","???????","????????","???????????","???????°æ??????","???????¢¨?","????????????","????????¢¨?","???????","???????????","???????????","????????","?????????","??????????","?????????????","????????????","???•Ë???????","???•Ë????????","??????","????????????","????????????","?????????????","???°æ??¨⁄?","???????(x)","???????(y)","????????????","??????????¨⁄?","???????¨⁄?","??????","???????","???????????","????????","????î≥??","????????","????????","?????","????????","?????????","??????????","?????????","???????","????????","???????","?®˘???","????????","?????????????•Ô?","???????","???????????","????????","?????????","???????????","?????????","?????????","????????????????","?????????????????","?????","???????????","????????????","?•‰???????","??????",
"172","????????","03_11_02_P","5330000","CDFI3261092014000004","2014-11-06","","03","???","03","???","2018-12-12","","","","","","650-836","???? ?óµ?? ?ì¯?? ???? 915-1????","???? ?óµ?? ?ì¯?? ???????? 7-31","53017","?????????","2018-12-12 10:20:29","U","2018-12-14 02:40:00","","329801.147406821","153538.881094172","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"173","????????","03_11_02_P","5330000","CDFI3261092014000005","2014-12-04","","03","???","03","???","2018-12-27","","","","","","650-837","???? ?óµ?? ?ì¯?? ???? 1151????","???? ?óµ?? ?ì¯?? ????? 928","53023","???? ???","2018-12-27 11:46:55","U","2018-12-29 02:40:00","","331826.008729538","157813.611066809","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"174","????????","03_11_02_P","5330000","CDFI3261092015000001","2015-05-26","","03","???","03","???","2018-08-16","","","","","","650-942","???? ?óµ?? ????? ????? 92-6????","???? ?óµ?? ????? ?????? 37-6","53087","???????","2018-08-16 18:01:36","I","2018-08-31 23:59:59","","330100.156783445","142072.791156912","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"175","????????","03_11_02_P","5330000","CDFI3261092016000001","2016-05-04","","03","???","03","???","2019-06-07","","","","","","","???? ?óµ?? ????? ???? 529-1????","???? ?óµ?? ????? ???????? 313","53085","?????? ???•È?","2019-06-07 17:54:05","U","2019-06-09 02:40:00","","330867.029755724","145479.171406693","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"176","????????","03_11_02_P","5330000","CDFI3261092018000001","2018-03-20","","03","???","03","???","2020-12-14","","","","","","","???? ?óµ?? ?????? ????? 1245-2 ???","???? ?óµ?? ?????? ????????? 632-99, ???(????)","53100","???????","2020-12-15 10:23:36","U","2020-12-17 02:40:00","","313481.082530695","128654.982002798","????????","","????????","1","","","","???????","1","","","","","","","","","","","","","107.52","","","","","","","","","","","","","108",
"177","????????","03_11_02_P","4280000","CDFI3261092010000001","2010-11-22","","03","???","03","???","2016-04-20","","","","","","232-923","?????? ????? ????? ?????? 250-8????","?????? ????? ????? ???????1?? 35-6","","?????≤J","2018-03-12 16:39:49","I","2018-08-31 23:59:59","","318858.243744172","460068.23606684","????????","","","2","","","","","","","","","","","","","","","","","","197.21","","","","","","","","","","","","","197",
"178","????????","03_11_02_P","4280000","CDFI3261092012000002","2012-11-16","","03","???","03","???","2014-11-07","","","","033-333-7778","","232-922","?????? ????? ????? ??¢¨? 697-8????","?????? ????? ????? ??????? 92-40","25309","????? ?ì?? ???","2018-03-12 16:44:37","I","2018-08-31 23:59:59","","319569.855643824","453416.43638541","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","156.64","","","","","","","","","","","","","157",
"179","????????","03_11_02_P","4280000","CDFI3261092014000001","2014-06-03","","03","???","03","???","2017-01-19","","","","","","232-944","?????? ????? ???•Ë? ????? 208-2????","?????? ????? ???•Ë? ????? 38-13","25337","??????????","2017-01-19 12:58:53","I","2018-08-31 23:59:59","","337476.302425447","452047.258523134","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","115.05","","","","","","","","","","","","","115",
"180","????????","03_11_02_P","4280000","CDFI3261092004000003","2004-04-28","","03","???","03","???","2016-01-07","","","","033-332-0016","","232-811","?????? ????? ?‡¬?? ????? 2223????","?????? ????? ?‡¬?? ???????? 116-10","","??????? ??????","2018-03-12 14:36:00","I","2018-08-31 23:59:59","","312654.277394532","442710.348966159","????????","???????","","2","","","","","2","","","","","","","","","","","","","990","","","","","","","","","","","","","990",
"181","????????","03_11_02_P","4280000","CDFI3261092005000001","2005-05-23","","03","???","03","???","2014-07-07","","","","","","232-922","?????? ????? ????? ??¢¨? 693-11????","?????? ????? ????? ??????? 76-6","","?©™?????????","2018-03-12 14:37:49","I","2018-08-31 23:59:59","","319265.840545168","453355.282413437","????????","???????","????????","3","???","","","???????","3","","","","","","","","","","","","","454","","","","","","","","","","","","","454",
"182","????????","03_11_02_P","4280000","CDFI3261092007000001","2007-12-28","","03","???","03","???","2016-04-19","","","","033-334-8263","","232-811","?????? ????? ?‡¬?? ????? 2226-1????","?????? ????? ?‡¬?? ???????? 114-12","","?????????????","2018-03-12 15:01:07","I","2018-08-31 23:59:59","","312654.854328208","442566.830795494","????????","???????","????????","2","???","","","??????? ????(????????????)","2","","","","","","","","","","","","","990","","","","","","","","","500000000","","","","990",
"183","????????","03_11_02_P","4280000","CDFI3261092008000004","2008-05-13","","03","???","03","???","2015-09-18","","","","","","232-943","?????? ????? ???•Ë? ????? 339-3????","","","??????? ????","2018-03-12 16:49:15","I","2018-08-31 23:59:59","","","","????????","???????","????????","1","???","","","???????","1","","","","","","","","","","","","","225.47","","","","","","","","","200000000","","","","225",
"184","????????","03_11_02_P","4250000","CDFI3261092013000003","2013-10-14","","03","???","03","???","2015-09-15","","","","","","250-856","?????? ???? ???? ????? 993-2???? 1??1??","?????? ???? ???? ?????? 986","25101","?????? ????","2015-09-15 18:04:14","I","2018-08-31 23:59:59","","261917.727774686","466247.248724555","????????","","????????","","???","","","???????","2","","","","","","","","","","","","","652","","","","","","","","","50000000","","","","652",
"185","????????","03_11_02_P","4250000","CDFI3261092017000002","2017-11-22","","03","???","03","???","2018-06-01","","","","033-435-8666","","","?????? ???? ???? ??? 25????","?????? ???? ???? ?????? 75-12","25103","??????????2?¨—?? ??????","2018-06-04 11:11:19","I","2018-08-31 23:59:59","","258829.51952765","458578.011194491","????????","","","","???","","","??????","3","","","","Ocean waterworld two minutes distence sinyoung pension","TOURISM PENSYEON","","","","","","","","","","","","","","","","","","","","","",
"186","????????","03_11_02_P","4250000","CDFI3261092013000004","2013-10-30","","03","???","03","???","2019-03-06","","","","","","250-856","?????? ???? ???? ????? 978-2???? 0??","?????? ???? ???? ????????? 273","25101","?•Ë????????","2019-03-06 13:23:57","U","2019-03-08 02:40:00","","262166.769745719","466501.323063682","????????","","????????","","???","","","???????","2","","","","IN MY LIFE","Tourist pension business","","","","","","","","153.06","","","","","","","","","60000000","","","","153",
"187","????????","03_11_02_P","4250000","CDFI3261092015000001","2015-02-03","","03","???","03","???","2022-11-15","","","","","","250-871","?????? ???? ???? ????? 103-1","?????? ???? ???? ????? 50-46","250-871","????? ???????","2022-11-16 17:52:37","U","2022-11-18 02:40:00","","269614.39401754","459865.568440023","????????","","????????","2","???","","","??????","2","","","","Haripgol Tourist pension","Tourist pension business","","","","","","","","252.57","","","","","","","","","200000000","","","","253",
"188","????????","03_11_02_P","4250000","CDFI3261092015000002","2015-04-27","","03","???","03","???","2022-01-25","","","","033-434-6009","","250-881","?????? ???? ???? ????? 98-3","?????? ???? ???? ????? 64","25116","??????? ?????","2022-01-25 11:29:34","U","2022-01-27 02:40:00","","269875.358272203","465788.887461973","????????","","????????","1","???","","","??????","1","0","0","0","Tourist pension Babiana","Tourist pension","0","0","","0","0","","0","161.09","","0","","","","","","","250000000","","","","161",
"189","????????","03_11_02_P","4250000","CDFI3261092016000001","2016-02-24","","03","???","03","???","2021-06-30","","","","033-436-3688","","","?????? ???? ???? ????? 201-30","?????? ???? ???? ????2?? 14-5","25116","?ØC??? ???????","2021-12-08 16:59:02","U","2021-12-10 02:40:00","","269189.1633565","465488.759641528","????????","","????????","2","???","","","??????","2","","","","HERITIS Tourist pension","Tourist pension business","","","","","","","","336.14","","","","","","","","","600000000","","","","336",
"190","????????","03_11_02_P","4250000","CDFI3261092016000002","2016-02-24","","03","???","03","???","2021-06-30","","","","033-436-3688","","","?????? ???? ???? ????? 201-31","?????? ???? ???? ????2?? 14-3","25116","?ØC???2 ???????","2021-12-08 16:59:13","U","2021-12-10 02:40:00","","269220.269567271","465497.00922888","????????","","????????","2","???","","","??????","2","","","","HERITIST 2 Tourist pension","Tourist pension business","","","","","","","","310.64","","","","","","","","","500000000","","","","311",
"191","????????","03_11_02_P","4320000","CDFI3261092011000001","2011-10-10","","03","???","03","???","2019-07-10","","","","0334818040","","255-804","?????? ???? ???? ?? 525-4????","?????? ???? ???? ????23???? 5-5","","??????•È?","2019-08-05 19:06:24","U","2019-08-07 02:40:00","","286317.020622685","512034.457443978","????????","","??????????","3","???©£????","","","??????","3","","","","","","","","","","","","","160.72","","","","","","","","","250000000","","","","161",
"192","????????","03_11_02_P","4200000","CDFI3261092003000001","2003-12-18","","03","???","03","???","2014-08-15","","","","","","210-370","?????? ?????? ???? 64-6????","?????? ?????? ??????? 21 (????)","","??????? ???","2014-08-18 08:50:53","I","2018-08-31 23:59:59","","366798.737827623","478899.766342412","????????","???????","","2","","","","??????","2","","","","","","","","","","","","","195.4","","","","","","","","","","","","","195",
"193","????????","03_11_02_P","4200000","CDFI3261092004000001","2004-08-02","","03","???","03","???","2015-04-02","","","","","","210-851","?????? ?????? ????? ?????? 343-1????","?????? ?????? ????? ?????? 22-76","","???????????","2015-04-03 14:14:01","I","2018-08-31 23:59:59","","361734.439623785","483569.548864291","????????","???????","????????","2","???","","","??????","2","","","","","","","","","","","","","","","","","","","","","","900000000","","","","",
"194","????????","03_11_02_P","4200000","CDFI3261092009000001","2009-06-11","","03","???","03","???","2014-07-08","","","","033-644-9411","","","?????? ?????? ?????? ???????? ?? 33-1????","","","?????????? ???????","2014-07-10 19:49:19","I","2018-08-31 23:59:59","","","","????????","","????????","6","???","","","??????","3","3","","","","","","","","","","","","5866.13","","","","","","","","","1100000000","","","","5866",
"195","????????","03_11_02_P","4200000","CDFI3261092012000001","2012-03-29","","03","???","03","???","2014-11-10","","","","033-661-3810","","210-863","?????? ?????? ????? ??Ér","?????? ?????? ????? ???? 37","210-863","???????","2014-11-11 18:37:29","I","2018-08-31 23:59:59","","349697.270586939","484370.771362456","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"196","????????","03_11_02_P","4220000","CDFI3261092011000001","2011-01-12","","03","???","03","???","2015-01-07","","","","033-554-0007","","235-802","?????? ?©ˆ?? ????? 496-2????","?????? ?©ˆ?? ???¨Ÿ? 940-9 (?????)","235-019","?????????","2015-01-08 09:55:25","I","2018-08-31 23:59:59","","374764.465465802","407969.512537814","????????","","???????????","2","???","","","??????? ????(????????????)","2","0","","","","","","","","","","","","213.39","","","","","","","","","500000000","","","","213",
"197","????????","03_11_02_P","4340000","CDFI3261092012000001","2012-07-17","","03","???","03","???","2016-04-27","","","","","","219-833","?????? ?????? ?ﬁ√?? ????? 47????","?????? ?????? ?ﬁ√?? ???????? 31","24764","??????©§","2016-04-28 10:38:09","I","2018-08-31 23:59:59","","336410.889596508","529664.155610265","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200000000","","","","",
"198","????????","03_11_02_P","4620000","CDFI3261092021000003","2021-09-17","","03","???","03","???","2021-11-29","","","","","","","??????? ?®˙?? ????? ????? 64-25 ???????????","??????? ?®˙?? ????? ??????? 44-29, ???????????","32160","???????????","2021-11-30 13:18:27","U","2021-12-02 02:40:00","","144654.530992642","344080.426876948","????????","","","3","","","","??????","2","1","0","0","","","0","0","","0","0","","0","232.8","","0","","","","","","","0","","","","233",
"199","????????","03_11_02_P","4620000","CDFI3261092021000002","2021-04-26","","03","???","03","???","2022-01-19","","","","","","","??????? ?®˙?? ????? ????? 73-4","??????? ?®˙?? ????? ??????? 44-71","32160","??????????","2022-01-19 17:13:48","U","2022-01-21 02:40:00","","144548.595541765","343931.712942366","????????","","","3","???","","","","3","","","","","","","","","","","","","363.67","","","","","","","","","","","","","364",
"200","????????","03_11_02_P","5450000","CDFI3261092010000002","2010-11-18","","03","???","03","???","2014-01-27","","","","","","666-803","???? ????? ????? ????? 498-1????","???? ????? ????? ?????????312???? 176-77","","?????????","2014-01-28 13:02:01","I","2018-08-31 23:59:59","","278087.927133355","215917.792007143","????????","","","1","","","","???????","1","0","","","Chatan Hanok Pension","Tourist Pension Business","","","","","","","","95.28","","","","","","","","","400000000","","","","95",
"201","????????","03_11_02_P","5450000","CDFI3261092010000003","2010-11-18","","03","???","03","???","2014-01-27","","","","","","666-803","???? ????? ????? ????? 498-2????","???? ????? ????? ?????????312???? 176-85","","??????????????","2014-01-28 13:01:23","I","2018-08-31 23:59:59","","278113.517367659","215879.65103508","????????","","","1","","","","???????","1","0","","","Jangjae Hanok Pension","Tourist Pension Business","","","","","","","","95.28","","","","","","","","","350000000","","","","95",
"202","????????","03_11_02_P","5450000","CDFI3261092012000001","2012-10-22","","03","???","03","???","2015-09-10","","","","","","666-801","???? ????? ????? ???? 877????","???? ????? ????? ????????250???? 18","666-801","?????????","2016-01-08 13:11:27","I","2018-08-31 23:59:59","","279875.318719489","211128.073886078","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"203","????????","03_11_02_P","5450000","CDFI3261092012000002","2012-10-23","","03","???","03","???","2016-04-05","","","","","","666-933","???? ????? ????? ??Ér 544????","???? ????? ????? ????????511???? 11-36","52236","???????ì??????","2016-04-06 08:53:36","I","2018-08-31 23:59:59","","268728.879924655","200032.660274704","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"204","????????","03_11_02_P","5450000","CDFI3261092014000001","2014-06-05","","03","???","03","???","2019-01-16","","","","055-972-7666","","666-922","???? ????? ????? ????? 614????","???? ????? ????? ????????? 157-5","52232","????? ??? ???","2019-01-16 17:18:21","U","2019-01-18 02:40:00","","274705.392959244","205382.111657009","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"205","????????","03_11_02_P","5450000","CDFI3261092010000001","2010-11-18","","03","???","03","???","2014-01-27","","","","","","666-803","???? ????? ????? ????? 498-3????","???? ????? ????? ?????????312???? 176-89","666-800","???????????","2014-01-28 13:01:02","I","2018-08-31 23:59:59","","278126.376529436","215843.257627759","????????","","","1","","","","???????","1","0","","","Pension Houses in Hanok Village","Tourist Pension Business","","","","","","","","92.76","","","","","","","","","320000000","","","","93",
"206","????????","03_11_02_P","5360000","CDFI3261092007000002","2007-11-26","","03","???","03","???","2019-01-14","","","","","","627-832","???? ?¨‡?? ?ÅÔ?? ??ıÍ 1870-3????","???? ?¨‡?? ?ÅÔ?? ???????? 11-12","50415","??????????•È?","2019-01-14 17:44:46","U","2019-01-16 02:40:00","","376946.061488775","234920.422898628","????????","???????","????????","1","???","","","???????","1","","","","","","","","","","","","","147","","","","","","","","","1100000000","","","","147",
"207","????????","03_11_02_P","5360000","CDFI3261092010000001","2010-03-25","","03","???","03","???","2019-02-19","","","","055-352-5764","","627-822","???? ?¨‡?? ????? ?????? 1067-3???? ?? 1","???? ?¨‡?? ????? ???1?? 21-26","50418","?????????????(??)","2019-02-19 09:37:22","U","2019-02-21 02:40:00","","372990.435339281","226131.266652496","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"208","????????","03_11_02_P","5370000","CDFI3261092004000001","2004-12-15","","03","???","03","???","2014-12-23","","","","","","656-892","???? ?????? ???? ????? 129????","???? ?????? ???? ???6?? 30-10","","????? ??????? ?????≤J","2014-12-23 18:06:35","I","2018-08-31 23:59:59","","355335.282564973","150864.107970559","????????","???????","","2","???©£????","","","???????","2","","","","","","","","","","","","","132.7","","","","","","","","","","","","","133",
"209","????????","03_11_02_P","5370000","CDFI3261092004000002","2004-12-15","","03","???","03","???","2014-12-23","","","","055-681-5995","","656-892","???? ?????? ???? ????? 129-2????","???? ?????? ???? ???6?? 30-12","","????? ??????? ????≤J","2014-12-23 18:08:22","I","2018-08-31 23:59:59","","355298.231802531","150849.54904174","????????","???????","???????????","2","???©£????","","","???????","2","","","","","","","","","","","","","141.02","","","","","","","","","","","","","141",
"210","????????","03_11_02_P","5370000","CDFI3261092004000003","2004-12-15","","03","???","03","???","2014-12-23","","","","055-682-4400","","656-892","???? ?????? ???? ????? 130-1????","???? ?????? ???? ???6?? 30-17","","????? ??????? ???????≤J","2014-12-23 18:04:24","I","2018-08-31 23:59:59","","355312.632518119","150783.90508848","????????","???????","???????????","2","???©£????","","","???????","2","","","","","","","","","","","","","134.92","","","","","","","","","","","","","135",
"211","????????","03_11_02_P","5370000","CDFI3261092007000001","2007-01-22","","03","???","03","???","2016-02-25","","","","","","656-891","???? ?????? ???? ????? 8-1????","???? ?????? ???? ?????? 460","","??????????????","2016-02-25 17:36:40","I","2018-08-31 23:59:59","","353083.806673867","147861.255155381","????????","???????","???????","2","???","","","??????","2","","","","","","","","","","","","","","","","","","","","","","","","","","",
"212","????????","03_11_02_P","5370000","CDFI3261092008000001","2008-08-06","","03","???","03","???","2015-01-09","","","","","","656-833","???? ?????? ???? ?????? 1256-2???? ?? 11????(1,6,8,9,10,11,15,16,17,22,23)","???? ?????? ???? ??????©™?? 660-17  (?? 11????(1,6,8,9,10,11,15,16,17,22,23))","","????????","2015-01-09 17:06:55","I","2018-08-31 23:59:59","","356605.929607048","159831.956843932","????????","???????","","2","","","","","","","","","","","","","","","","","","1445.99","","","","","","","","","","","","","1446",
"213","????????","03_11_02_P","5370000","CDFI3261092009000001","2009-02-25","","03","???","03","???","2015-01-06","","","","055-681-9890","","656-891","???? ?????? ???? ????? 9-42????","???? ?????? ???? ?????? 475-9","","?????????????","2015-01-06 12:21:57","I","2018-08-31 23:59:59","","353194.327910421","147851.59173186","????????","","","2","","","","","2","","","","","","","","","","","","","273.88","","","","","","","","","","","","","274",
"214","????????","03_11_02_P","5370000","CDFI3261092009000002","2009-02-25","","03","???","03","???","2015-01-06","","","","055-636-4796","","656-891","???? ?????? ???? ????? 9-41????","???? ?????? ???? ?????? 475-7","","???????","2015-01-06 12:23:22","I","2018-08-31 23:59:59","","353172.623232406","147858.818739206","????????","","","2","","","","","2","","","","","","","","","","","","","341.43","","","","","","","","","","","","","341",
"215","????????","03_11_02_P","5370000","CDFI3261092009000003","2009-03-05","","03","???","03","???","2018-12-31","","","","055-682-4900","","656-892","???? ?????? ???? ????? 158-9","???? ?????? ???? ???6?? 49","","??????????","2022-02-25 14:31:52","U","2022-02-27 02:40:00","","355207.502354199","150760.413007116","????????","","","1","","","","","1","","","","","","","","","","","","","143.82","","","","","","","","","","","","","144",
"216","????????","03_11_02_P","5370000","CDFI3261092009000004","2009-06-16","","03","???","03","???","2015-03-31","","","","682-2795","","656-891","???? ?????? ???? ????? 45-8????","???? ?????? ???? ????2?? 5","656-891","??????? ??????","2015-03-31 09:53:02","I","2018-08-31 23:59:59","","353185.688877944","147571.720098701","????????","","","2","","","","","2","","","","","","","","","","","","","410.52","","","","","","","","","","","","","411",
"217","????????","03_11_02_P","5430000","CDFI3261092009000001","2009-12-30","","03","???","03","???","2017-09-11","","","","055-867-8444","","668-854","???? ????? ????? ???ïó 116????","???? ????? ????? ???•‰?? 2575-25","","?Éw?? ???????","2017-09-11 10:55:48","I","2018-08-31 23:59:59","","292287.474546899","154475.765800525","????????","","????????","2","???","","","??????","2","0","","","","","","","","","","","","385.1","","","","","","","","","","","","","385",
"218","????????","03_11_02_P","5430000","CDFI3261092010000001","2010-01-18","","03","???","03","???","2018-02-23","","","","055-867-8848","","668-854","???? ????? ????? ???ïó 114-15????","???? ????? ????? ???•‰?? 2575-92","","???? ??????? ???????","2018-02-23 13:10:01","I","2018-08-31 23:59:59","","292219.709793762","154483.175332752","????????","","????????","2","???","","","??????","2","","","","","","","","","","","","","235.91","","","","","","","","","","","","","236",
"219","????????","03_11_02_P","5020000","CDFI3261092018000001","2018-09-20","","03","???","03","???","2022-09-08","","","","","","","????? ????? ???? ???????? ?????? 603","????? ????? ???? ???????? ????? 350, ????4 104??","37930","????4","2022-09-08 15:19:01","U","2022-09-11 02:40:00","","432163.645507062","283513.696717562","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"220","????????","03_11_02_P","5020000","CDFI3261092018000002","2018-09-20","","03","???","03","???","2022-09-08","","","","","","","????? ????? ???? ???????? ?????? 603","????? ????? ???? ???????? ????? 350, ????7 105??","37930","????7","2022-09-08 15:18:52","U","2022-09-11 02:40:00","","432163.645507062","283513.696717562","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"221","????????","03_11_02_P","4160000","CDFI3261092021000002","2021-03-08","","03","???","03","???","2021-11-08","","","","","","","??? ???? ?????? ??ïó 55-36","??? ???? ?????? ????????? 326-420","12428","??????????","2021-11-08 16:25:43","U","2021-11-10 02:40:00","","247564.294672723","472977.478076916","????????","","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"222","????????","03_11_02_P","5690000","CDFI3261092017000001","2017-12-06","","03","???","03","???","2021-11-26","","","","","","","???????????? ???? ???? 367-12 ???????","???????????? ???? ???? 161, ???????","30056","??????????","2021-11-26 17:30:48","U","2021-11-28 02:40:00","","219320.203376119","326378.832536592","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"223","????????","03_11_02_P","3990000","CDFI3261092012000001","2012-04-18","","03","???","03","???","2018-07-05","","","","","","472-851","??? ??????? ?????? ???¨⁄? 48-7????","??? ??????? ?????? ???•Ï???1?? 61-8","12028","?????","2018-07-06 08:57:54","I","2018-08-31 23:59:59","","227071.894555526","467874.281864485","????????","","???????","2","","","","","","","","","","","","","","","","","","160.67","","","","","","","","","","","","","161",
"224","????????","03_11_02_P","4160000","CDFI3261092009000001","2009-05-06","","03","???","03","???","2018-06-14","","","","031-581-1212","","477-842","??? ???? ??? ??¨⁄? 342-2????","??? ???? ??? ??¨Ÿ? 379","12406","??¨—??????","2018-06-15 10:41:42","I","2018-08-31 23:59:59","","240991.205616999","488920.669253536","????????","","????????","2","???","","","??????? ????(????????????)","2","","","","","","","","","","","","","148.25","","","","","","","","","200000000","","","","148",
"225","????????","03_11_02_P","4160000","CDFI3261092009000002","2009-05-06","","03","???","03","???","2018-06-14","","","","","","477-842","??? ???? ??? ??¨⁄? 342-3????","??? ???? ??? ??¨Ÿ? 379","12406","??????","2018-06-15 10:41:56","I","2018-08-31 23:59:59","","240985.728662149","488903.893238856","????????","","????????","2","???","","","??????? ????(????????????)","2","","","","","","","","","","","","","149.42","","","","","","","","","200000000","","","","149",
"226","????????","03_11_02_P","4160000","CDFI3261092010000001","2010-03-11","","03","???","03","???","2015-07-15","","","","031-581-6213","","477-803","??? ???? ?????? ?????? 48-1????","??? ???? ?????? ???? 1698-59","477-803","???????????","2015-08-21 14:52:37","I","2018-08-31 23:59:59","","245301.912405495","471540.3450035","????????","","","3","","","","???","3","","","","","","","","","","","","","396.85","","","","","","","","","","","","","397",
"227","????????","03_11_02_P","4160000","CDFI3261092010000003","2010-11-19","","03","???","03","???","2017-09-19","","","","031-582-8122","","477-842","??? ???? ??? ??¨⁄? 45-5????","??? ???? ??? ??¨Ÿ? 61-58","12406","???•Î? ?ïó","2017-09-19 18:39:00","I","2018-08-31 23:59:59","","243494.065555532","488375.173769963","????????","","","2","","","","","2","","","","","","","","","","","","","669.61","","","","","","","","","","","","","670",
"228","????????","03_11_02_P","4160000","CDFI3261092012000002","2012-09-28","","03","???","03","???","2017-01-25","","","","","","477-812","??? ???? ???? ?ñΩ?? 402-1???? ??1????","??? ???? ???? ?????? 90","12457","??•Ó????","2017-01-25 18:05:58","I","2018-08-31 23:59:59","","232664.963187794","464814.279162626","????????","","????????","3","???","","","??????","3","0","","","","","","","","","","","","396.72","","","","","","","","","50000000","","","","397",
"229","????????","03_11_02_P","4160000","CDFI3261092012000004","2012-12-10","","03","???","03","???","2017-09-14","","","","","","477-833","??? ???? ??? ????? 417-10????","??? ???? ??? ???????589???? 55-209","477-833","?????ıÍ?","2017-09-14 15:17:23","I","2018-08-31 23:59:59","","","","????????","","","","","","","??????","2","","","","","","","","","","","","","428.45","","","","","","","","","70000000","","","","428",
"230","????????","03_11_02_P","4160000","CDFI3261092014000001","2014-02-04","","03","???","03","???","2017-09-13","","","","","","477-812","??? ???? ???? ?ñΩ?? 413-3????","??? ???? ???? ??????? 7","12457","??????","2017-09-13 11:07:28","I","2018-08-31 23:59:59","","232580.709825947","464893.803372885","????????","","","2","","","","","","","","","Solger Pension","Tourist Pension","","","","","","","","271.07","","","","","","","","","","","","","271",
"231","????????","03_11_02_P","4160000","CDFI3261092014000002","2014-06-16","","03","???","03","???","2017-09-07","","","","","","477-812","??? ???? ???? ?ñΩ?? 422-2????","??? ???? ???? ??????? 29-25","12457","???????????","2017-09-07 19:05:25","I","2018-08-31 23:59:59","","232568.394929638","465155.818610576","????????","","","2","","","","??????","2","","","","","","","","","","","","","364","","","","","","","","","250000000","","","","364",
"232","????????","03_11_02_P","4160000","CDFI3261092018000002","2018-07-23","","03","???","03","???","2021-01-22","","","","","","","??? ???? ???? ?????? 720-2","??? ???? ???? ?????? 28-18","12456","?•Â????","2021-01-25 09:14:37","U","2021-01-27 02:40:00","","242841.260103745","468347.75029597","????????","","","","","","","","","","","","","","","","","","","","","152.78","","","","","","","","","","","","","153",
"233","????????","03_11_02_P","5540000","CDFI3261092017000001","2017-05-22","","03","???","03","???","2017-11-21","","","","","","","??? ????? ????? ???? 401-1????","??? ????? ????? ???? 58-2","12808","K401","2017-11-22 09:50:04","I","2018-08-31 23:59:59","","227962.966079961","426553.799179919","????????","","???????","2","","","","???????","2","1","","","","","","","","","","","","156.4","","","","","","","","","300000000","","","","156",
"234","????????","03_11_02_P","4400000","CDFI3261092009000001","2009-07-07","","03","???","03","???","2013-10-11","","","","","","390-832","?????? ????? ???? ???? 227-4????","?????? ????? ???? ?????44?? 29-9","390-824","?°¿•Ë?????????(2)","2013-10-14 08:08:27","I","2018-08-31 23:59:59","","304180.239381135","391424.208568825","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","144.27","","","","","","","","","320000000","","","","144",
"235","????????","03_11_02_P","4400000","CDFI3261092009000002","2009-07-07","","03","???","03","???","2018-06-11","","","","","","390-832","?????? ????? ???? ???? 227-3????","?????? ????? ???? ?????44?? 29-7","27215","?°¿•Ë?????????(3)","2018-06-12 16:23:00","I","2018-08-31 23:59:59","","304202.638976229","391421.218294678","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","117.06","","","","","","","","","310000000","","","","117",
"236","????????","03_11_02_P","4400000","CDFI3261092009000003","2009-07-07","","03","???","03","???","2018-06-11","","","","","","390-832","?????? ????? ???? ???? 227-2????","?????? ????? ???? ?????44?? 29-5","27215","?°¿•Ë?????????(5)","2018-06-12 16:22:26","I","2018-08-31 23:59:59","","304222.953607126","391424.066313271","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","143.23","","","","","","","","","320000000","","","","143",
"237","????????","03_11_02_P","4400000","CDFI3261092009000004","2009-07-07","","03","???","03","???","2018-06-11","","","","","","390-832","?????? ????? ???? ???? 227-1????","?????? ????? ???? ?????44?? 29-1","27215","?°¿•Ë?????????(4)","2018-06-12 16:22:43","I","2018-08-31 23:59:59","","304240.958210472","391430.398532169","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","154.2","","","","","","","","","330000000","","","","154",
